                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.79694,                0.74197,                 1.1968,                 0.8957,                0.97973,                0.98131,                0.81278,                0.67216,                0.53995,                 1.1966,             0.00092435,             0.00092435,             0.00092435
                     47,                0.75454,                0.69636,                 1.1785,                0.92748,                0.90278,                0.94661,                0.76239,                0.70446,                0.75687,                 1.2295,             0.00090785,             0.00090785,             0.00090785
                     48,                 0.8048,                0.72646,                  1.203,                0.91392,                 0.9168,                0.97012,                0.76866,                0.79304,                0.69602,                 1.3071,             0.00089134,             0.00089134,             0.00089134
                     49,                0.80288,                0.72516,                 1.1911,                0.93093,                0.91078,                0.96103,                 0.8106,                0.68666,                0.65482,                 1.2064,             0.00087484,             0.00087484,             0.00087484
                     50,                0.75132,                0.68856,                 1.1729,                0.94003,                0.89155,                0.94731,                0.77018,                0.71467,                0.63903,                 1.2227,             0.00085834,             0.00085834,             0.00085834
                     51,                0.72913,                0.67594,                 1.1558,                 0.9799,                0.92468,                0.97419,                0.81652,                 0.6311,                0.56859,                 1.1565,             0.00084184,             0.00084184,             0.00084184
                     52,                0.76096,                0.69186,                 1.1795,                0.88449,                0.95489,                0.96379,                 0.7866,                0.70729,                0.58535,                 1.2622,             0.00082533,             0.00082533,             0.00082533
                     53,                0.74887,                0.68262,                   1.17,                0.91257,                 0.9128,                0.96356,                0.82465,                0.62819,                0.56949,                 1.1564,             0.00080883,             0.00080883,             0.00080883
                     54,                0.74594,                0.67731,                 1.1799,                0.91974,                  0.875,                0.92557,                0.79836,                 0.6101,                0.66121,                  1.126,             0.00079233,             0.00079233,             0.00079233
                     55,                0.72379,                0.66781,                 1.1486,                0.89879,                0.95138,                0.98135,                0.82649,                0.61002,                0.50192,                 1.0938,             0.00077582,             0.00077582,             0.00077582
                     56,                 0.7405,                0.68032,                 1.1503,                0.81564,                0.90919,                0.93205,                0.77868,                0.63865,                  0.846,                 1.1631,             0.00075932,             0.00075932,             0.00075932
                     57,                0.73299,                 0.6656,                 1.1443,                 0.9317,                0.97222,                 0.9856,                0.82037,                0.62534,                0.50933,                 1.1406,             0.00074282,             0.00074282,             0.00074282
                     58,                0.73838,                0.63428,                 1.1438,                0.92106,                0.88889,                0.92987,                 0.8203,                0.53941,                0.70628,                 1.0774,             0.00072631,             0.00072631,             0.00072631
                     59,                0.70674,                0.63385,                  1.135,                0.94196,                0.95833,                0.97478,                0.83423,                 0.5907,                0.56805,                 1.1059,             0.00070981,             0.00070981,             0.00070981
                     60,                0.73766,                0.63937,                 1.1518,                0.96237,                0.91667,                0.96798,                0.83727,                 0.5755,                0.56099,                 1.0954,             0.00069331,             0.00069331,             0.00069331
                     61,                0.66663,                0.59647,                 1.1065,                0.96828,                0.93056,                0.98098,                 0.8649,                0.51534,                0.48743,                  1.046,              0.0006768,              0.0006768,              0.0006768
                     62,                0.70504,                0.62671,                 1.1271,                0.99125,                0.90278,                0.97125,                 0.8442,                0.58867,                0.55345,                 1.1022,              0.0006603,              0.0006603,              0.0006603
                     63,                0.66126,                0.60831,                 1.0939,                0.95908,                0.93056,                 0.9735,                0.82522,                0.61869,                0.64001,                 1.1573,              0.0006438,              0.0006438,              0.0006438
                     64,                0.70157,                0.61792,                 1.1336,                0.92607,                0.94303,                  0.974,                0.83575,                0.58297,                0.54379,                 1.1086,             0.00062729,             0.00062729,             0.00062729
                     65,                0.69547,                0.61414,                 1.1381,                0.92176,                0.95833,                0.96303,                0.81517,                0.63534,                0.63255,                 1.1744,             0.00061079,             0.00061079,             0.00061079
                     66,                0.71662,                0.63904,                  1.146,                0.91214,                0.96159,                0.97802,                0.83084,                0.67847,                0.52558,                 1.2251,             0.00059429,             0.00059429,             0.00059429
                     67,                0.69625,                0.63262,                 1.1365,                0.94067,                0.92397,                 0.9749,                0.83011,                0.67488,                0.53942,                 1.2228,             0.00057778,             0.00057778,             0.00057778
                     68,                0.68166,                0.60649,                 1.1243,                0.97936,                0.93056,                0.97633,                0.85783,                 0.6066,                0.52859,                  1.142,             0.00056128,             0.00056128,             0.00056128
                     69,                0.69711,                0.61913,                 1.1361,                0.98014,                0.91179,                0.98039,                0.83599,                0.61944,                  0.531,                 1.1677,             0.00054478,             0.00054478,             0.00054478
                     70,                0.64717,                0.59374,                 1.0921,                0.90809,                0.96287,                0.97673,                0.83587,                0.63548,                0.55627,                 1.1962,             0.00052827,             0.00052827,             0.00052827
                     71,                0.68918,                0.61664,                 1.1329,                0.98523,                 0.9158,                 0.9816,                0.83663,                0.64801,                 0.5615,                 1.1914,             0.00051177,             0.00051177,             0.00051177
                     72,                0.65522,                0.58534,                 1.1239,                0.95291,                0.93545,                0.97594,                0.85622,                0.54263,                0.50865,                 1.0955,             0.00049527,             0.00049527,             0.00049527
                     73,                0.63754,                0.56649,                 1.0992,                0.94696,                0.93916,                0.97409,                0.85792,                0.57031,                0.54806,                 1.1237,             0.00047876,             0.00047876,             0.00047876
                     74,                 0.6641,                 0.5857,                 1.1209,                0.97277,                0.95043,                0.98432,                0.87373,                0.57384,                0.49076,                 1.1125,             0.00046226,             0.00046226,             0.00046226
                     75,                0.64484,                  0.563,                 1.1011,                0.98607,                0.94627,                 0.9836,                0.87388,                0.58013,                0.51076,                 1.1015,             0.00044576,             0.00044576,             0.00044576
                     76,                0.64216,                0.58764,                 1.1048,                0.91993,                0.95567,                0.96717,                0.85117,                0.56959,                  0.572,                 1.1245,             0.00042925,             0.00042925,             0.00042925
                     77,                0.63684,                 0.5507,                 1.0915,                0.94443,                0.96096,                0.97814,                0.85641,                0.57898,                0.54245,                 1.1225,             0.00041275,             0.00041275,             0.00041275
                     78,                0.62043,                0.53437,                 1.0855,                0.95692,                0.93242,                0.97812,                0.86864,                0.54861,                 0.5474,                 1.0881,             0.00039625,             0.00039625,             0.00039625
                     79,                0.61953,                  0.568,                 1.0852,                0.97855,                0.92528,                0.97634,                0.87277,                0.53641,                0.55439,                 1.1068,             0.00037974,             0.00037974,             0.00037974
                     80,                0.65498,                0.57546,                 1.1111,                0.93006,                0.97222,                0.97584,                0.86696,                0.56417,                0.54952,                 1.1371,             0.00036324,             0.00036324,             0.00036324
                     81,                0.60158,                0.52592,                 1.0851,                 0.9438,                   0.97,                0.97403,                0.85727,                0.58332,                0.53866,                 1.1498,             0.00034674,             0.00034674,             0.00034674
                     82,                0.62029,                0.53152,                 1.0874,                0.97258,                0.95835,                 0.9804,                0.86108,                0.54386,                0.57548,                 1.0985,             0.00033023,             0.00033023,             0.00033023
                     83,                0.60633,                0.53665,                 1.0775,                0.98648,                 0.9653,                0.98523,                 0.8716,                0.54615,                0.50339,                 1.0789,             0.00031373,             0.00031373,             0.00031373
                     84,                0.60255,                0.50411,                 1.0678,                0.99746,                0.96594,                 0.9866,                0.86595,                0.52827,                0.48719,                 1.0723,             0.00029723,             0.00029723,             0.00029723
                     85,                0.60275,                0.51803,                 1.0791,                0.99546,                0.96974,                0.98693,                0.88245,                0.52334,                0.49908,                 1.0803,             0.00028072,             0.00028072,             0.00028072
                     86,                0.61215,                0.53974,                  1.096,                0.98621,                0.94987,                0.98567,                0.87529,                0.54024,                0.52789,                 1.0915,             0.00026422,             0.00026422,             0.00026422
                     87,                0.60997,                0.52791,                 1.0772,                0.99755,                0.95603,                 0.9848,                0.88275,                0.54107,                0.51892,                 1.0967,             0.00024772,             0.00024772,             0.00024772
                     88,                0.58078,                0.49756,                 1.0636,                0.94374,                0.97222,                0.98227,                0.88969,                0.56266,                0.53172,                 1.1279,             0.00023121,             0.00023121,             0.00023121
                     89,                0.57537,                0.49335,                 1.0788,                0.98497,                0.95428,                0.98277,                0.86606,                0.54558,                0.50916,                 1.0765,             0.00021471,             0.00021471,             0.00021471
                     90,                0.41119,                0.33089,                0.94327,                0.94794,                0.94766,                0.97791,                0.87444,                0.50454,                0.49324,                 1.0481,             0.00019821,             0.00019821,             0.00019821
                     91,                0.38097,                0.31118,                0.94342,                0.97031,                0.95833,                0.98198,                0.88676,                0.49076,                0.51954,                  1.027,              0.0001817,              0.0001817,              0.0001817
                     92,                0.38207,                0.32948,                 0.9371,                0.98106,                0.95217,                0.98205,                0.87688,                0.49113,                0.56135,                 1.0334,              0.0001652,              0.0001652,              0.0001652
                     93,                0.39564,                0.31124,                0.94737,                0.96359,                0.93882,                0.98157,                 0.8805,                0.50076,                0.57189,                  1.048,              0.0001487,              0.0001487,              0.0001487
                     94,                0.37101,                0.30015,                0.91427,                0.97997,                0.94444,                 0.9807,                0.86944,                0.52102,                 0.5609,                 1.0724,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.3834,                0.30344,                0.92537,                0.98556,                 0.9619,                0.98633,                0.88624,                0.51868,                0.51149,                 1.0719,             0.00011569,             0.00011569,             0.00011569
                     96,                0.36206,                0.29837,                 0.9145,                0.99661,                0.95805,                0.98592,                0.89218,                0.50804,                 0.4994,                 1.0604,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.35956,                0.30305,                 0.9213,                0.98314,                0.95694,                0.98091,                0.88589,                0.50679,                0.52435,                 1.0622,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.36235,                0.29258,                0.90571,                0.98373,                0.95767,                0.98082,                0.87877,                0.51237,                0.53994,                 1.0617,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.33264,                0.28039,                0.88876,                0.98139,                0.95833,                0.98109,                 0.8826,                 0.5052,                0.51406,                 1.0588,             4.9677e-05,             4.9677e-05,             4.9677e-05
